id Turn;time;speaker;simultaneous;text;event
1;0;spk1;-;donc euh;-
1;1.791;spk1;-;peut-être pour commencer une euh;-
1;4.712;-;spk1;-;bb
2;5.048;spk1;-;vous pourriez euh;-
2;7.145;spk1;-;me parler un petit peu de votre parcours euh personnel et enfin;-
3;10.962;spk2;-;hm;-
4;11.37;spk1;-;depuis combien de temps est-ce que vous êtes originaire d'Orléans ou de sa région ?;-
5;15.072;spk1;spk1 spk2;ou;-
5;15.072;spk2;spk1 spk2;hm hm;-
6;15.871;spk1;-;pas;-
6;16.429;spk1;-;et euh;-
7;17.371;spk1;spk1 spk2;-;rire
7;17.371;spk2;spk1 spk2;alors mon parcours;-
8;19.496;spk2;-;euh bah moi je suis de la banlieue parisienne;-
9;21.808;spk1;-;d'accord;-
10;22.438;spk2;-;donc euh banlieue nord de Paris;-
11;24.39;spk1;-;d'accord;-
12;25.044;spk2;-;j'ai été élevée euh dans une cité HLM;-
13;27.308;spk1;-;hm;-
14;28.515;spk2;-;et euh assez longtemps quand même et puis euh;-
14;31.596;spk2;-;lorsque j'ai rencontré donc euh le père de Marine;-
14;34.792;spk2;-;euh;-
14;36.594;spk2;-;il vivait aussi dans une cité HLM mais une autre cité HLM;-
14;39.796;spk2;-;lorsqu'on s'est rencontré il était plus âgé que moi;-
14;42.493;spk2;-;euh bah qu'on a décidé de construire euh;-
14;45.334;spk2;-;une vie euh de famille ensemble;-
14;47.765;spk2;-;euh on a un peu réfléchi sur ce que euh s-;-
14;52.127;spk2;-;que la vie était en banlieue;-
15;53.718;spk2;spk2 spk1;ce qu'on avait vécu;-
15;53.718;spk1;spk2 spk1;oui oui;-
16;55.305;spk2;-;et on s'est dit euh ben on n'a pas envie euh;-
17;57.545;spk2;spk2 spk1;on avait pas envie de euh proposer ça à nos enfants;-
17;57.545;spk1;spk2 spk1;de ça ouais hm;-
18;60.771;spk2;-;donc euh;-
18;62.235;spk2;-;bon c'était assez compliqué moi j'étais jeune hein je l'ai rencontré j'avais euh;-
18;65.704;spk2;-;quinze ans;-
19;66.526;spk1;-;oui;-
20;66.983;spk2;spk2 spk1;on s'est marié très enfin moi j'étais très jeune lui il était plus âgé;-
20;66.983;spk1;spk2 spk1;-;rire
21;70.401;spk2;-;donc euh c'était des décisions;-
21;72.281;spk2;-;et puis on avait aussi envie de prendre de la distance avec la famille;-
22;74.81;spk1;-;oui;-
23;75.175;spk2;-;donc;-
24;75.805;spk2;spk2 spk1;euh on voulait pas partir loin mais euh on voulait partir donc euh lui;-
24;75.805;spk1;spk2 spk1;bah à cet âge-là ça se euh oui mais quand même;-
24;75.805;spk1;spk2 spk1;-;rire
25;79.704;spk2;-;il travaillait à à l'époque moi j'avais des emplois un peu plus précaires;-
25;83.411;spk2;-;parce que j'étais pas euh;-
25;85.147;spk2;-;j'avais un CAP de comptable;-
26;87.027;spk1;-;ouais;-
27;87.681;spk2;spk2 spk1;que j'ai toujours d'ailleurs;-
27;87.681;spk1;spk2 spk1;oui;-
28;88.864;-;spk1;-;rire
29;89.614;spk2;-;et euh donc je travaillais euh avec des petits contrats;-
29;92.96;spk2;-;et puis on a décidé donc de partir lui il a demandé une mutation il travaillait dans une entreprise euh;-
29;97.984;spk2;-;il y est toujours d'ailleurs à l'époque il était euh;-
29;100.97;spk2;-;il est rentré comme simple représentant;-
30;103.07;spk2;spk2 spk1;vendeur quoi les;-
30;103.07;spk1;spk2 spk1;oui;-
31;104.705;spk2;-;il démarchait pas mal à domicile;-
31;107.114;spk2;-;et puis euh en fait euh;-
31;109.1;spk2;-;il a demandé une mutation ça s'est fait assez rapidement;-
31;111.423;spk2;-;il a été muté sur euh Lailly-en-Val;-
32;114.341;spk1;-;c'est euh;-
33;115.259;spk2;-;c'est euh;-
33;116.049;spk2;-;Beaugency;-
34;116.783;spk1;-;d'accord;-
35;117.384;spk2;-;voilà;-
35;118.826;spk2;-;donc euh il a été muté et;-
35;120.393;spk2;-;puis en même temps il a eu un poste on lui a proposé un poste plus élevé;-
35;123.663;spk2;-;plus intéressant donc euh on;-
35;125.754;spk2;-;moi j'avais déjà euh on avait déjà Marine a un grand frère;-
35;129.095;spk2;-;qui a aujourd'hui vingt-six ans et demi;-
36;131.071;spk1;-;ouais;-
37;131.773;spk2;-;donc euh;-
37;133.749;spk2;-;on est venu avec Nicolas donc qui avait deux ans;-
37;136.037;spk2;-;et puis bah ça correspondait tout à fait bah c'était la campagne euh;-
38;139.86;spk2;spk2 spk1;le petit village euh;-
38;139.86;spk1;spk2 spk1;et donc vous viviez là-bas;-
39;141.4;spk1;-;ou déjà à Orléans ?;-
40;142.341;spk2;-;ah non donc on a déménagé et ça s'est fait en deux mois;-
41;144.702;spk1;-;d'accord;-
42;145.23;spk2;-;on est arrivé là très rapidement en deux mois on a pas trop réfléchi;-
43;148.841;spk2;spk2 spk1;on s'est dit allez on est jeune moi j'avais;-
43;148.841;spk1;spk2 spk1;oui;-
43;148.841;spk1;spk2 spk1;-;rire
44;151.057;spk2;-;vingt et un ans euh lui avait vingt euh sept vingt-huit ans;-
44;155.749;spk2;-;donc voilà on est parti;-
45;157.028;-;spk1;-;rire
46;157.586;spk2;spk2 spk1;l'enfant sous le bras;-
46;157.586;spk1;spk2 spk1;-;rire
47;159.201;spk1;-;les valises;-
48;159.879;spk2;spk2 spk1;voilà donc;-
48;159.879;spk1;spk2 spk1;-;rire
49;160.461;spk2;-;lui travaillait moi je ne travaillais pas j'avais pas mon permis à l'époque;-
49;164.119;spk2;-;vous me dites hein si je m'étale un peu trop;-
50;165.639;spk1;-;ah non non non;-
50;165.639;-;spk1;-;rire
51;166.702;spk2;spk2 spk1;j'avais pas mon permis à l'époque;-
51;166.702;spk1;spk2 spk1;-;rire
52;168.293;spk2;-;donc à Paris j'en avais pas forcément besoin bon;-
53;170.678;spk2;spk2 spk1;nous on habitait;-
53;170.678;spk1;spk2 spk1;non;-
54;171.455;spk2;-;alors ensuite on s'était rapproché de Paris on habitait Villemont;-
55;174.457;spk2;-;c'est une banlieue un peu plus;-
55;176.41;spk2;-;plus chic quand même;-
56;177.274;spk1;-;oui;-
