Locuteur,Echange
ch_NS3:,donc en fait on on débute en
ch_NS3:,en demandant aux gens depuis combien
ch_NS3:,de temps est-ce qu'ils euh
ch_NS3:,habitent à Orléans
ch_NS3:,pour afin d'avoir d'une idée de leur euh
LD54:,quand vous dites Orléans euh Orléans même ?
ch_NS3:,euh leur parcours de vie euh
LD54:,ou la banlieue d'Orléans ?
ch_NS3:,[bb:noise:instantaneous] euh ben
ch_NS3:,les deux en fait hein savoir un petit peu euh
LD54:,bon
LD54:,je suis natif euh d'une ville
LD54:,qui se trouve euh à trente kilomètres d'Orléans
ch_NS3:,hm hm
LD54:,et je suis rentré euh
LD54:,j'habitais Fleury-les-Aubrais
LD54:,dans les y a environ maintenant euh
LD54:,trente-cinq ans
LD54:,[bb:noise:instantaneous]
LD54:,bon je suis Orléanais hein
LD54:,j'ai fait
LD54:,mes achats euh
LD54:,au cours de ma jeunesse
LD54:,je l'ai passé à Orlé- aussi à Orléans
LD54:,donc euh après
ch_NS3:,hm hm
LD54:,je suis parti sur Paris
LD54:,travailler
LD54:,comme beaucoup de jeunes hein
LD54:,et je suis revenu euh re-
LD54:,je suis rentré su- de nouveau sur Orléans
LD54:,vers les vingt-cinq ans
LD54:,vingt-six ans
ch_NS3:,hm hm
LD54:,et depuis donc euh je suis Orléanais
LD54:,sachant que j'ai travaillé
LD54:,sur Orléans pendant dix ans
LD54:,pendant quinze ans je me suis expro- euh
LD54:,je suis
LD54:,retourné travailler sur Chartres
LD54:,donc Chartres c'est la banlieue d'Orléans entre guillemets
ch_NS3:,hm hm
LD54:,mais toujours en habitant euh
LD54:,Semoy
LD54:,on habite Semoy
LD54:,donc Semoy c'est un petit village qui se trouve euh
LD54:,accolé à Orléans
ch_NS3:,hm hm
LD54:,au nord d'Orléans
ch_NS3:,hm hm
LD54:,donc je suis natif d'Orléans
LD54:,Olivet
ch_NS3:,d'accord
LD54:,et donc je suis maintenant Orléanais pur
LD54:,euh depuis
LD54:,que nous sommes commerçants
LD54:,rue NANON depuis trois ans et demi
ch_NS3:,hm hm
LD54:,sachant qu'on n'habite pas ici
LD54:,on pourrait habiter ici
LD54:,mais on habite toujours notre pavillon à Semoy
ch_NS3:,d'accord
ch_NS3:,ah vous avez repris le commerce ici
ch_NS3:,mais vous avez gardé votre euh
ch_NS3:,ce qui est logique euh
LD54:,on a gardé notre euh notre on a gardé
LD54:,non encore que euh
LD54:,[i:noise:instantaneous]
LD54:,pour certains euh
LD54:,pour certains ils trouvent euh
LD54:,moi je suis pas d'accord
LD54:,habiter sur place c'est plus pratique c'est vrai
LD54:,quand on habite très loin
LD54:,mais nous on est à dix mi- mi- minutes
LD54:,euh en voiture
ch_NS3:,hm hm
LD54:,de de où on habite
LD54:,on préfère habiter euh
LD54:,où nous sommes euh
LD54:,sans changer nos habitudes
LD54:,mais c'est vrai que
LD54:,quand vous avez un commerce bon je revire
LD54:,je parle maintenant du commerce
LD54:,quand vous avez un commerce avec un logement
LD54:,c'est très recherché aujourd'hui
LD54:,surtout pour un tabac-presse
LD54:,donc aujourd'hui apparemment on on sait
LD54:,dans le futur
LD54:,on pense pas qu'on aura de mal à trouver un repreneur
LD54:,parce que euh
ch_NS3:,hm hm
LD54:,ce genre de métier de services
LD54:,c'est quand même
LD54:,prenant
LD54:,on est quand même euh
LD54:,en activité du matin sept heures trente
LD54:,jusqu'à vingt heures le soir
LD54:,donc c'est quand même euh six jours par semaine
ch_NS3:,hm hm
LD54:,et une famille aujourd'hui
LD54:,nous nous sommes relativement âgés
LD54:,mais une famille de trente-cinq ans
LD54:,qui ont des enfants
LD54:,c'est l'idéal de d'habiter sur place
LD54:,sachant que euh
ch_NS3:,hm hm
LD54:,la femme peut très bien euh s'occuper des enfants euh
LD54:,et être à la boutique euh en cas de besoin
ch_NS3:,ouais ouais
ch_NS3:,et donc qu'est-ce qui vous a amené à rester à
ch_NS3:,à Orléans
ch_NS3:,parce que vous m'avez dit que vous êtes euh
ch_NS3:,parti sur Paris vous auriez
ch_NS3:,pu rester euh
LD54:,non non Paris à j-
LD54:,Paris c'était ma ma jeunesse
LD54:,au début euh les premiers emplois on les trouve sur Paris
ch_NS3:,hm hm
LD54:,après je me suis rapproché sur Saint-Jean-de-Braye
LD54:,dans dans mon métier
LD54:,donc j'ai activé
LD54:,j'étais en activité pendant onze ans
LD54:,sur Saint-Jean-de-Braye
LD54:,et après
LD54:,à trente-cinq ans
LD54:,comme tout le monde à trente cinq ans
LD54:,on a envie de progresser on a voulu prendre euh
LD54:,un petit peu plus de responsabilité
LD54:,et j'ai trouvé un poste similaire à celui que j'avais
LD54:,sur Orléans sur Chartres
LD54:,et à l'époque euh on était en train de construire
LD54:,notre maison sur Sain- sur sur Semoy
LD54:,donc ça a été un accord avec mon épouse
LD54:,euh on reste sur Orléans
LD54:,on va pas habiter Chartres
LD54:,parce que Chartres on connaît Chartres
LD54:,mais pas pour y habiter
LD54:,on reste sur Orléans
LD54:,et je fais euh la navette
LD54:,tous les jours euh Chartres Orléans
LD54:,donc euh
ch_NS3:,hm hm
LD54:,donc Paris au tout
LD54:,au tout début
LD54:,Chartres euh Orléans
LD54:,Chartres
LD54:,j'aurais pu être encore resté à Chartres aujourd'hui
LD54:,mais aujourd'hui bah j'ai
LD54:,j'ai arrêté de travailler sur Chartres
LD54:,et aujourd'hui à Orléans
LD54:,parce que euh
LD54:,pourquoi Orléans si on a voulu prendre un commerce euh
LD54:,autant chercher un commerce dans notre région
LD54:,sachant qu'on avait un logement proche
ch_NS3:,hm hm
LD54:,on voulait pas du tout s'exproprier
LD54:,euh très loin
LD54:,pour avoir des loyers à payer et et
LD54:,pour dire plus on est on est
LD54:,on est d'Orléans et quand on fait une étude de marché
LD54:,on connaissait bien Orléans la rue NANON
LD54:,j'ai fait une étude de marché
LD54:,donc aujourd'hui c'est plus facile
LD54:,de faire une étude de marché quand on est sur place
LD54:,que quand on est à
LD54:,quand on prend un commerce à cinq kilomètres
ch_NS3:,hm hm
LD54:,donc aujourd'hui l'intérêt c'était
LD54:,de cibler
LD54:,un commerce sur Orléans
LD54:,et ça m'a permis euh avant de m'engager à
LD54:,prendre ce commerce
LD54:,de suivre un peu l'évolution de ce commerce où nous sommes
LD54:,bon aujourd'hui ça se passe comme ça
LD54:,il faut faire un peu de marketing hein
LD54:,hein
ch_NS3:,hm hm
ch_NS3:,ah oui on voit tellement de
LD54:,pour voir
ch_NS3:,de magasins
ch_NS3:,qui ferment qui ouvrent et qui ferment
ch_NS3:,quelques mois après que
LD54:,oui bon pour un buraliste euh
LD54:,un tabac pour euh un un service de hm
LD54:,[bb:noise:instantaneous]
LD54:,de prestation de services
LD54:,c'est pas encore des produits
LD54:,qui ferment
LD54:,ça veut dire y a toujours un besoin
LD54:,bon dans dix ans
LD54:,on sait pas comment ça se passera
LD54:,mais on va dire aujourd'hui on a encore quelques années à
LD54:,pouvoir vivre hein
LD54:,mais c'est vrai que euh
ch_NS3:,hm hm
LD54:,j'aurais trente-cinq ans je me serais pas du tout
LD54:,mis dans ce genre de
LD54:,d'activité hein
LD54:,hein
LD54:,j'étais salarié pendant trente ans
LD54:,donc euh c'était là je suis plutôt en train
LD54:,d'attendre euh entre guillemets
LD54:,de compléter mes points de retraite
LD54:,en étant indépendant
ch_NS3:,hm hm
LD54:,mais aussi le l-
LD54:,comment je on envisage la suite de l'avenir
LD54:,en cotisant encore cinq six ans
LD54:,pour pouvoir prendre notre retraite
LD54:,et en étant indépendant
LD54:,et plus salarié
ch_NS3:,hm d'accord
LD54:,avec moins de euh
LD54:,moins de contraintes
LD54:,des contraintes
LD54:,d'horaires certes
LD54:,mais bon on s'y habitue
LD54:,mais moins de contraintes de responsab-
LD54:,de responsabilités
LD54:,de de de stress euh
LD54:,parce qu'aujourd'hui on parle beaucoup du stress
ch_NS3:,hm hm
LD54:,c'est vrai que je pense aujourd'hui
LD54:,que les les salariés dans les entreprises euh
LD54:,sont souvent stressés hein
LD54:,et arriver
LD54:,quand vous avez un âge relativement avancé
LD54:,vous passez quand même
LD54:,bon vous êtes relativement jeune
LD54:,donc vous avez pas du tout ce
LD54:,[rire en fond:noise:instantaneous] ce contexte
LD54:,mais j'ai connu
LD54:,euh j'ai connu une activité à trente-cinq ans
LD54:,dans l'entreprise
LD54:,que je suis rentré
LD54:,sur Chartres
LD54:,j'y suis resté jusqu'à cinquante ans
