Titre,,ESLO2_ENT_1054
Corpus,,ESLO2
Catégorie,,Entretien (Discussion en face à face entre un chercheur et un locuteur témoin à partir d’une trame d’entretien)
Description,,
Lieu,,"[Spatial] : Orléans, [TGN] : 7008337, [POINT] : east=1.904; north=47.899"
Date de création,,03/06/2010
Durée,,01:56:00
Acoustique,,Bonne
Sujet,,(text_and_corpus_linguistics) Français (Ethnologue: fra)
Langues,,
Identifiant URI,,/CorpusEslo/UploadsEslo/EnregistrementsStockes/ESLO2_ENT_1054.wav
Locuteurs,,LD54 | ch_NS3
Editeurs,,LLL Université d'Orléans
Créateurs,,LLL Université d'Orléans - ESLOs
Chercheurs,,Serpollet Noëlle |
Chercheurs locuteurs,,Serpollet Noëlle
Participants,,
Autres participants,,
